epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,1830.61,0.008,0.57105,1.43879,0.836,0.95652,0.90886,0.55295,0.00737,0.40107,1.25395,0.000316006,0.000316006,0.000316006
64,1851.32,0.00802,0.55797,1.47954,0.83723,0.94203,0.91149,0.5585,0.00728,0.33672,1.214,0.000301496,0.000301496,0.000301496
65,1873.87,0.00761,0.5102,1.41015,0.81639,0.92754,0.91778,0.57192,0.00729,0.38788,1.23657,0.000287182,0.000287182,0.000287182
66,1895.02,0.00748,0.52428,1.41405,0.81251,0.98551,0.91606,0.5599,0.00752,0.33264,1.2601,0.000273077,0.000273077,0.000273077
67,1920.31,0.0077,0.53538,1.41141,0.79042,0.97101,0.9099,0.55821,0.00739,0.33055,1.26747,0.000259197,0.000259197,0.000259197
68,1941.28,0.00789,0.53443,1.44336,0.79662,0.97101,0.89976,0.53169,0.00771,0.34855,1.31924,0.000245555,0.000245555,0.000245555
69,1967.82,0.00768,0.54264,1.42133,0.80722,0.94203,0.90001,0.54405,0.00739,0.31693,1.24343,0.000232163,0.000232163,0.000232163
70,1991.9,0.00745,0.51698,1.38531,0.79719,0.96846,0.91309,0.52923,0.00708,0.31038,1.23385,0.000219036,0.000219036,0.000219036
71,2014.67,0.00781,0.52505,1.42745,0.8143,0.95652,0.90528,0.53626,0.00731,0.3385,1.23296,0.000206187,0.000206187,0.000206187
72,2038.47,0.00739,0.4977,1.39328,0.86242,0.95652,0.91712,0.56863,0.00679,0.35182,1.17159,0.000193627,0.000193627,0.000193627
73,2063.21,0.00711,0.49189,1.36525,0.84733,0.96528,0.92913,0.57102,0.00719,0.32785,1.22673,0.00018137,0.00018137,0.00018137
74,2086.48,0.00764,0.53089,1.41595,0.83729,0.96954,0.9295,0.57383,0.00682,0.32038,1.17514,0.000169427,0.000169427,0.000169427
75,2114.01,0.00727,0.51163,1.37675,0.84062,0.95652,0.92749,0.56491,0.00704,0.34937,1.19266,0.000157811,0.000157811,0.000157811
76,2138.57,0.00756,0.50085,1.39349,0.84365,0.95652,0.92743,0.5796,0.00686,0.3072,1.16864,0.000146532,0.000146532,0.000146532
77,2163.87,0.00726,0.49661,1.37241,0.81203,0.97101,0.92547,0.5793,0.00681,0.30631,1.16342,0.000135602,0.000135602,0.000135602
78,2187.12,0.00725,0.49945,1.37629,0.82494,0.95615,0.91698,0.56496,0.00672,0.30928,1.16418,0.000125032,0.000125032,0.000125032
79,2215.08,0.00733,0.48072,1.36756,0.82035,0.95652,0.90538,0.55943,0.00693,0.3104,1.17965,0.000114832,0.000114832,0.000114832
80,2238.25,0.00726,0.47704,1.37025,0.81583,0.95652,0.91119,0.57046,0.0073,0.32402,1.20971,0.000105012,0.000105012,0.000105012
81,2263,0.0071,0.4684,1.35928,0.82271,0.95652,0.91225,0.58477,0.00663,0.31784,1.13171,9.5582e-05,9.5582e-05,9.5582e-05
82,2286.85,0.00729,0.47823,1.37656,0.82495,0.95619,0.92047,0.56713,0.0072,0.31464,1.1923,8.65511e-05,8.65511e-05,8.65511e-05
83,2309.13,0.00713,0.48851,1.35677,0.82466,0.98551,0.91892,0.57761,0.00708,0.3055,1.1932,7.79283e-05,7.79283e-05,7.79283e-05
84,2332.96,0.007,0.47477,1.35121,0.81705,0.97101,0.92385,0.59146,0.00675,0.29445,1.16971,6.9722e-05,6.9722e-05,6.9722e-05
85,2356.03,0.00713,0.46855,1.36061,0.85504,0.95652,0.92733,0.57184,0.00739,0.29985,1.24443,6.19405e-05,6.19405e-05,6.19405e-05
86,2376.69,0.0073,0.4985,1.38234,0.82969,0.97101,0.92344,0.57967,0.00707,0.30517,1.21124,5.45913e-05,5.45913e-05,5.45913e-05
87,2398.92,0.00716,0.48844,1.35577,0.85859,0.96794,0.92568,0.60142,0.00657,0.29545,1.15421,4.76817e-05,4.76817e-05,4.76817e-05
88,2422.76,0.00706,0.45336,1.34821,0.8436,0.95652,0.92224,0.59228,0.00682,0.30369,1.1751,4.12186e-05,4.12186e-05,4.12186e-05
89,2446.2,0.00698,0.45492,1.3419,0.82871,0.95652,0.92174,0.57712,0.00718,0.32099,1.22529,3.52082e-05,3.52082e-05,3.52082e-05
90,2467.59,0.00701,0.46926,1.32848,0.83757,0.95652,0.91865,0.56826,0.00721,0.31517,1.23075,2.96567e-05,2.96567e-05,2.96567e-05
91,2492.98,0.00645,0.38498,1.31495,0.84524,0.95652,0.92795,0.56366,0.0072,0.33796,1.2409,2.45693e-05,2.45693e-05,2.45693e-05
92,2513.89,0.00625,0.35663,1.26237,0.86794,0.95252,0.93254,0.56028,0.00738,0.3424,1.25683,1.99512e-05,1.99512e-05,1.99512e-05
93,2538.57,0.00621,0.34082,1.24605,0.86304,0.94203,0.92941,0.56407,0.00743,0.3247,1.25712,1.58068e-05,1.58068e-05,1.58068e-05
94,2565.1,0.00611,0.35107,1.25957,0.84973,0.94203,0.9258,0.56455,0.00741,0.31571,1.25016,1.21404e-05,1.21404e-05,1.21404e-05
95,2587.9,0.00611,0.34412,1.22731,0.84695,0.94203,0.92623,0.57006,0.00737,0.31609,1.24772,8.95549e-06,8.95549e-06,8.95549e-06
96,2608.4,0.00632,0.34595,1.2418,0.84341,0.94203,0.92585,0.56769,0.00738,0.31574,1.24798,6.25521e-06,6.25521e-06,6.25521e-06
97,2630.24,0.00592,0.34815,1.22228,0.85248,0.94203,0.92618,0.5699,0.00734,0.31166,1.24343,4.04226e-06,4.04226e-06,4.04226e-06
98,2653.43,0.00614,0.338,1.24066,0.84674,0.94203,0.92688,0.56542,0.00733,0.31344,1.24297,2.3188e-06,2.3188e-06,2.3188e-06
99,2675.58,0.0062,0.36116,1.24735,0.84717,0.94203,0.92655,0.56944,0.00734,0.31142,1.24267,1.08654e-06,1.08654e-06,1.08654e-06
100,2696.11,0.00631,0.35744,1.25715,0.84626,0.94203,0.92646,0.56866,0.00733,0.31177,1.24365,3.46695e-07,3.46695e-07,3.46695e-07
