epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,1550.9,0.00708,0.52921,1.09981,0.77194,0.72277,0.83064,0.45478,0.01093,0.73386,1.44696,0.000316006,0.000316006,0.000316006
64,1564.48,0.00747,0.57133,1.13776,0.827,0.70297,0.83343,0.47423,0.01012,0.70014,1.36853,0.000301496,0.000301496,0.000301496
65,1577.31,0.0069,0.52665,1.07759,0.80589,0.69882,0.82212,0.43834,0.01124,0.70187,1.49006,0.000287182,0.000287182,0.000287182
66,1608.65,0.00704,0.53852,1.11639,0.79798,0.70398,0.81566,0.46421,0.01009,0.75957,1.37338,0.000273077,0.000273077,0.000273077
67,1637.89,0.00724,0.53977,1.12133,0.85509,0.68812,0.82417,0.45609,0.01037,0.74758,1.39182,0.000259197,0.000259197,0.000259197
68,1652.41,0.00689,0.51373,1.09057,0.83864,0.64326,0.79651,0.45997,0.0094,0.8847,1.29533,0.000245555,0.000245555,0.000245555
69,1665.63,0.00683,0.50096,1.07574,0.81018,0.68812,0.81819,0.38204,0.01242,0.802,1.62046,0.000232163,0.000232163,0.000232163
70,1677.62,0.00701,0.52042,1.08625,0.84498,0.70161,0.84843,0.46095,0.0107,0.77907,1.42953,0.000219036,0.000219036,0.000219036
71,1691,0.00676,0.48863,1.06832,0.76721,0.71787,0.82957,0.45953,0.01065,0.84042,1.43316,0.000206187,0.000206187,0.000206187
72,1702.84,0.0069,0.51308,1.09168,0.78082,0.72306,0.82281,0.41692,0.01204,0.76566,1.59552,0.000193627,0.000193627,0.000193627
73,1716.1,0.00657,0.47496,1.07505,0.8095,0.69422,0.81424,0.40057,0.0124,0.79046,1.63899,0.00018137,0.00018137,0.00018137
74,1729.83,0.00645,0.44919,1.05901,0.88124,0.62447,0.79275,0.45059,0.01031,0.80516,1.38955,0.000169427,0.000169427,0.000169427
75,1741.62,0.00682,0.4967,1.08965,0.81002,0.68317,0.78918,0.42879,0.01084,0.86122,1.44121,0.000157811,0.000157811,0.000157811
76,1758.55,0.00681,0.48489,1.06724,0.83904,0.68812,0.8272,0.42586,0.01148,0.77546,1.50587,0.000146532,0.000146532,0.000146532
77,1794.63,0.00663,0.50103,1.07924,0.78691,0.71287,0.82648,0.42891,0.01094,0.716,1.45187,0.000135602,0.000135602,0.000135602
78,1815.38,0.00689,0.51826,1.09468,0.82788,0.66337,0.78146,0.40037,0.01083,0.82137,1.44307,0.000125032,0.000125032,0.000125032
79,1826.67,0.0065,0.46511,1.06152,0.81322,0.68317,0.79755,0.46153,0.00969,0.7912,1.33026,0.000114832,0.000114832,0.000114832
80,1839.93,0.00653,0.46299,1.06116,0.83864,0.72041,0.82084,0.45623,0.01015,0.8035,1.37967,0.000105012,0.000105012,0.000105012
81,1851.59,0.00672,0.48913,1.07947,0.80336,0.68317,0.79787,0.4593,0.00999,0.84946,1.36331,9.5582e-05,9.5582e-05,9.5582e-05
82,1865.13,0.0064,0.47597,1.06233,0.81424,0.69307,0.81584,0.47847,0.00983,0.79763,1.3535,8.65511e-05,8.65511e-05,8.65511e-05
83,1878.6,0.00637,0.48135,1.06784,0.82296,0.71338,0.83083,0.48982,0.0097,0.7373,1.34176,7.79283e-05,7.79283e-05,7.79283e-05
84,1890.54,0.00634,0.44041,1.04152,0.87256,0.71182,0.83417,0.47625,0.00995,0.75169,1.35669,6.9722e-05,6.9722e-05,6.9722e-05
85,1905.63,0.00647,0.45692,1.05461,0.83844,0.71934,0.82819,0.46551,0.01023,0.81615,1.38214,6.19405e-05,6.19405e-05,6.19405e-05
